"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"	"sample7"	"sample8"	"sample9"	"sample10"	"sample11"	"sample12"	"GeneName"
"ENSMUSG00000000159"	1.22427e-08	0.0096553	2.71783e-08	3.14312e-08	1.4885e-08	1.85524e-08	5.17453e-08	0.140162	0.180685	2.09744e-08	2.39145e-08	1.0337e-08	"Igsf5"
"ENSMUSG00000000167"	0.810034	0.982006	0.858006	1.37577	1.2187	1.49842	0.253722	1.24563	0.748362	0.539401	0.584303	0.529334	"Pih1d2"
"ENSMUSG00000000168"	28.1691	28.93	30.1532	15.6632	13.2676	14.3875	30.1689	40.3493	46.3532	35.8361	33.2329	37.2154	"Dlat"
"ENSMUSG00000000171"	45.1552	44.4115	42.1775	74.7921	67.8338	69.4758	75.0453	152.957	152.117	61.4659	61.8208	57.8747	"Sdhd"
"ENSMUSG00000000182"	0.0402902	0.0461623	0.0665442	0.0102598	0.0261751	0	0.0201119	0.0337744	0.0886333	0.0503358	0.0981396	0.0459361	"Fgf23"
"ENSMUSG00000000183"	0	0	0	0	0.0211721	0	0	0	0	0	0	0	"Fgf6"
"ENSMUSG00000000184"	0.242435	0.462317	0.605109	0.0525173	0.0402321	0.103327	0.0929382	0.153481	0.289173	0.254339	0.243298	0.368342	"Ccnd2"
"ENSMUSG00000000194"	8.70945	8.16707	9.11475	8.63046	8.35016	9.34677	7.78264	9.92548	8.22577	8.85422	8.53283	9.25658	"Gpr107"
"ENSMUSG00000000197"	5.90113	5.22811	6.12063	3.04422	2.75014	3.04337	4.43283	3.13333	3.59681	5.84024	5.28269	5.82694	"Nalcn"
"ENSMUSG00000000202"	0	0	0.116569	0.065722	0.056927	0.0210216	0.0726831	0.114871	0.332214	0.0104117	0.0689438	0.035831	"Btbd17"
"ENSMUSG00000000204"	0	0	0	0	0	0	0	0	0	0	0	0	"Slfn4"
"ENSMUSG00000000214"	15.7141	23.9086	21.9394	2.36621	1.43071	3.00246	0.859527	0.856345	0.88423	312.128	332.83	272.122	"Th"
"ENSMUSG00000000215"	0.058775	0.276398	0	0	0	0	0	0.23717	1.02941	0	0	0	"Ins2"
"ENSMUSG00000000216"	0.0421355	0.0323881	0.0103269	0	0	0	0.0195199	0	0	0.00779634	0	0.0253096	"Scnn1g"
"ENSMUSG00000000223"	2.77947	2.5013	2.61349	1.48036	1.23858	1.44247	2.77179	2.2743	2.13601	3.61493	3.11821	4.53397	"Drp2"
"ENSMUSG00000000244"	0	0	0	0	0	0	0	0.0185557	0.0419021	0	0	0	"Tspan32"
"ENSMUSG00000000247"	0	0	0	0	0	0	0.0898242	0	0	0	0	0	"Lhx2"
"ENSMUSG00000000248"	0	0	0	0	0	0	0	0	0	0	0	0	"Clec2g"
"ENSMUSG00000000253"	9.15351	9.8313	8.26472	23.6616	25.3274	31.0471	13.5555	32.3151	28.7171	11.1308	13.0378	11.3241	"Gmpr"
"ENSMUSG00000000263"	0	0.0102311	2.18845e-09	0	0	0	0	0	0	0.0147039	0	0.0318287	"Glra1"
"ENSMUSG00000000266"	9.36266	9.16717	9.70747	6.56922	4.8857	4.98189	4.41839	3.62407	3.63627	13.0725	13.4141	14.1204	"Mid2"
"ENSMUSG00000000275"	8.35696	7.51946	8.70722	18.5925	17.7143	0	0.767212	0.688875	0.905333	1.71515	1.43247	2.25771	"Trim25"
"ENSMUSG00000000276"	6.93985	6.43275	6.35448	6.06753	4.80394	4.6381	3.61968	2.98983	2.829	6.82397	5.87992	6.09784	"Dgke"
"ENSMUSG00000000278"	7.3275	6.29638	6.39078	10.2887	8.70847	10.1426	7.0883	8.57864	8.55249	4.92781	4.80985	5.72861	"Scpep1"
"ENSMUSG00000000282"	10.2377	9.41672	10.6977	12.1503	12.5068	13.7587	4.0396	4.8121	5.37459	12.1903	12.0463	10.8469	"Mnt"
