GeneSymbol	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ABCC12	3	0	1	0	0	1	1	0
ABCC13	0	0	0	1	0	0	0	0
ABCC2	189	106	86	75	46	123	90	76
ABCC3	4	1	3	1	2	2	3	2
ABCC4	991	633	777	704	438	758	681	540
ABCC5	3817	2203	2299	1965	1158	2273	1898	1400
ABCC6	123	81	116	115	74	71	68	68
ABCC6P1	36	19	37	40	21	18	19	16
ABCC6P2	5	6	13	9	8	5	4	5
ABCC8	65	49	77	66	53	73	40	55
ABCC9	2	5	6	9	1	1	5	3
ABCD1	412	234	242	295	109	255	250	172
ABCD2	30	17	72	63	34	51	40	44
ABCD3	5039	2886	3200	2943	2144	3574	3091	2281
ABCD4	1913	1137	1363	1298	696	1365	1134	984
ABCE1	7672	4281	4374	3953	2717	4766	4197	2994
ABCF1	10759	6202	6156	5796	3100	7123	5774	4575
ABCF2	7130	4011	3273	2960	1691	4298	3578	2665
ABCF3	1975	1051	1061	1010	562	1098	864	725
ABCG1	75	37	188	158	101	126	117	89
ABCG2	267	168	207	189	136	273	268	188
ABCG4	154	111	177	199	108	133	150	107
ABCG5	1	0	2	2	0	2	5	2
ABCG8	0	1	3	5	1	1	2	1
ABHD1	37	37	80	67	32	41	30	36
ABHD10	3670	2199	2418	2199	1527	2433	2110	1510
ABHD11	643	387	579	625	324	617	486	409
ABHD11-AS1	2	2	2	0	0	2	0	6
ABHD12	1995	1020	1058	1017	555	1040	850	670
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	819	507	866	763	485	640	556	373
ABHD14A	182	76	126	136	49	124	86	84
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	636	432	765	843	371	412	347	297
ABHD15	704	447	573	573	316	526	413	335
ABHD16A	865	479	544	497	282	509	409	317
ABHD16B	1	2	2	1	0	2	2	1
ABHD2	3563	2148	2574	2250	1419	2238	1900	1433
ABHD3	1070	656	737	701	481	798	704	517
ABHD4	798	439	603	540	269	510	404	331
ABHD5	1847	912	1013	933	621	1045	858	669
ABHD6	367	210	331	311	171	267	210	170
ABHD8	793	468	594	671	311	625	577	448
ABI1	2893	1646	1740	1595	995	1655	1394	963
ABI2	5387	3425	4818	4404	2689	4740	4124	3216
ABI3	7	0	3	4	2	2	1	2
ABI3BP	37	25	57	61	53	37	23	27
ABL1	4891	2795	2969	2847	1578	3152	2783	2145
ABL2	2216	1425	2892	2373	1537	1506	1382	1086
ABLIM1	3754	2339	3059	2743	1692	3545	2956	2328
ABLIM2	58	35	67	64	22	46	36	26
ABLIM3	94	59	153	169	70	85	82	68
ABO	1	2	1	2	0	4	2	2
ABP1	2	0	3	1	1	0	2	2
ABR	3259	1915	2111	1922	1037	2334	1903	1626
ABRA	0	0	0	0	0	0	0	0
ABT1	3679	2115	1969	1893	935	2243	1879	1418
ABTB1	193	111	220	207	129	175	167	108
ABTB2	1278	749	801	748	371	715	591	493
ACAA1	1249	813	939	979	460	1033	805	700
ACAA2	1281	792	987	990	596	1043	869	673
ACACA	6946	3849	4588	4019	2401	4070	3725	2857
ACACB	793	428	560	536	269	553	464	363
ACAD10	941	544	616	605	313	455	380	311
ACAD11	146	74	123	145	68	85	94	71
ACAD8	1083	615	687	645	366	671	557	466
ACAD9	2946	1753	1786	1686	1002	2110	1738	1369
ACADL	165	89	115	94	65	147	128	87
ACADM	3643	2213	2477	2210	1450	2138	1930	1413
ACADS	221	179	281	271	147	210	166	145
ACADSB	2103	1289	1218	1136	708	1391	1238	906
ACADVL	1734	1216	1886	1968	1131	1131	921	876
ACAN	25	11	42	29	24	10	13	7
ACAP1	6	3	8	8	5	10	2	3
ACAP2	3101	1794	2239	1962	1335	2115	1915	1349
ACAP3	1618	1017	1201	1155	629	994	863	780
ACAT1	3398	2133	2882	2539	1524	2654	2251	1763
ACAT2	3938	2311	3037	2868	1575	2910	2374	1829
ACBD3	5687	3293	4039	3713	2456	3706	3265	2389
ACBD4	482	334	641	623	283	499	413	347
ACBD5	2227	1288	1572	1437	910	1710	1505	1161
ACBD6	1574	966	1314	1271	773	1338	1137	845
ACBD7	708	458	500	475	287	670	524	391
ACCN1	1	1	0	1	0	0	1	2
ACCN2	986	686	1284	1384	680	764	679	546
ACCN3	89	76	90	126	49	67	63	58
ACCN4	63	35	13	19	0	14	21	15
ACCN5	0	0	0	0	0	0	0	0
ACCS	123	64	182	141	98	122	123	99
ACCSL	0	1	1	0	0	0	1	0
ACD	562	351	458	489	206	544	435	340
ACE	166	103	284	253	129	149	99	74
ACE2	40	21	37	36	17	34	20	17
ACER1	2	0	0	1	0	0	1	1
ACER2	119	65	128	109	66	73	73	56
ACER3	1268	766	989	903	589	914	836	574
ACHE	122	69	190	167	86	38	38	32
ACIN1	13398	7485	7293	6465	3499	7268	6136	5042
ACLY	23688	14066	15175	14064	7747	15803	13024	10535
ACMSD	0	0	0	0	0	0	0	0
ACN9	1103	594	806	768	456	676	586	410
ACO1	1248	718	928	812	502	1012	902	641
ACO2	3660	2121	2105	2091	1068	2276	1937	1479
ACOT1	93	52	61	64	33	68	38	35
ACOT11	111	56	76	101	38	82	83	67
ACOT12	4	0	4	2	2	1	3	0
ACOT13	1604	916	1177	1148	671	1078	899	732
ACOT2	529	308	339	360	160	327	265	232
ACOT4	2	1	1	0	0	1	2	0
ACOT6	0	0	0	2	1	0	0	2
ACOT7	2078	1203	1590	1528	749	1928	1622	1240
ACOT8	573	335	449	480	226	447	378	276
ACOT9	773	511	823	763	447	679	594	466
ACOX1	2512	1443	1722	1566	1009	1773	1642	1192
ACOX2	8	10	14	20	13	10	9	6
ACOX3	454	241	306	291	152	325	269	182
ACOXL	62	36	106	110	58	131	127	101
ACP1	5009	2877	3487	3201	2002	3629	3031	2390
ACP2	1112	612	652	607	342	883	673	550
ACP5	5	3	2	5	1	3	2	5
ACP6	850	563	703	700	373	600	528	391
ACPL2	873	556	844	869	507	842	695	569
ACPP	89	46	137	89	69	119	94	74
ACPT	0	0	0	0	0	2	1	1
ACR	4	1	1	3	1	2	1	2
ACRBP	21	14	5	10	4	9	11	10
ACRC	325	157	86	96	45	80	71	58
ACRV1	0	2	0	0	1	1	2	1
ACSBG1	82	35	11	14	7	20	16	3
ACSBG2	2	2	0	2	2	0	0	0
ACSF2	434	291	582	613	302	342	303	225
ACSF3	631	396	390	358	212	407	344	279
ACSL1	2112	1318	1806	1656	1051	1614	1463	1117
ACSL3	3814	2409	3919	3631	2456	3840	3372	2623
ACSL4	5439	3582	6593	6014	4081	4312	3792	2749
ACSL5	48	12	6	2	4	12	4	7
ACSL6	201	149	284	232	158	158	142	103
ACSM1	1	1	0	2	0	2	0	1
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	75	57	93	81	47	60	55	56
ACSM4	0	0	0	0	0	0	0	0
ACSM5	1	0	1	0	0	1	0	0
ACSS1	551	368	550	549	291	400	331	282
ACSS2	697	416	684	682	312	543	434	333
ACSS3	246	193	292	270	171	251	183	157
ACTA1	145	79	61	54	26	65	44	66
ACTA2	783	449	282	271	138	162	162	121
ACTB	79172	42865	42391	40250	18888	56793	47257	36233
ACTBL2	157	82	20	15	13	62	48	36
ACTC1	15	7	7	11	6	14	11	5
ACTG1	91313	51827	57176	55086	27891	62215	52237	40552
ACTG2	0	2	5	3	2	3	3	2
ACTL10	1	3	4	1	0	2	1	2
ACTL6A	4307	2362	2539	2298	1424	2980	2460	1900
ACTL6B	6	3	3	3	0	4	2	2
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	1	0	1	0	0	2	0	2
ACTL8	30	24	8	3	2	28	16	14
ACTL9	0	0	0	0	0	1	0	0
ACTN1	3721	2261	2477	2582	1403	2435	2150	1672
ACTN2	1161	600	657	594	321	459	383	348
ACTN3	3	1	1	4	1	1	0	4
ACTN4	10059	5568	5127	5062	2506	6111	5098	4166
ACTR10	2310	1335	1639	1410	894	1728	1453	1099
ACTR1A	5865	3420	4034	3946	2073	4572	3757	2883
ACTR1B	2265	1481	1982	1942	988	1568	1311	1151
ACTR2	14873	8747	9969	8594	6350	11049	9572	7184
ACTR3	7304	4401	5486	4864	3164	5131	4334	3218
ACTR3B	757	408	551	491	262	743	661	521
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	25	8	11	11	6	33	27	10
ACTR3C	51	34	22	15	13	32	25	12
ACTR5	762	444	386	356	196	509	387	303
ACTR6	1708	973	1357	1267	919	1311	1111	795
ACTR8	1347	860	921	821	520	923	810	596
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACVR1	625	394	535	490	324	483	405	324
ACVR1B	2363	1413	1520	1487	849	1745	1469	1192
ACVR1C	239	151	318	297	227	172	165	111
ACVR2A	447	319	440	368	252	378	322	219
ACVR2B	4557	2900	4633	3782	2737	4458	3951	3006
ACVRL1	44	26	119	104	55	114	102	82
ACY1	36	13	36	33	19	24	23	13
ACY3	0	0	0	0	0	0	1	0
ACYP1	436	242	452	415	280	408	327	269
ACYP2	140	91	68	58	40	96	64	54
ADA	551	275	534	524	276	409	303	289
ADAD1	0	0	1	0	0	0	0	1
ADAD2	0	0	1	1	0	0	0	1
ADAL	789	508	650	544	370	666	531	448
ADAM1	363	201	216	183	81	247	213	166
ADAM10	2432	1511	1697	1376	924	1457	1121	839
ADAM11	873	519	713	700	389	481	416	362
ADAM12	166	129	187	155	84	135	124	97
ADAM15	1670	1066	1226	1211	628	1065	855	738
ADAM17	2041	1273	1491	1273	836	1220	1043	804
ADAM18	1	0	0	0	1	0	0	0
ADAM19	680	430	654	571	319	434	391	282
ADAM2	0	0	0	0	0	0	1	0
ADAM20	3	0	2	2	0	3	2	3
ADAM21	29	15	40	30	36	20	16	14
ADAM21P1	0	0	6	1	1	3	0	0
ADAM22	1137	678	954	800	557	813	679	495
ADAM23	515	351	462	437	249	398	323	264
ADAM28	2	1	2	6	1	4	3	2
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	1	0	0	0	0	0	1
ADAM32	27	18	13	10	8	7	17	14
ADAM33	0	0	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0	0	0
ADAM5P	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	266	139	79	71	42	95	84	62
ADAM9	2557	1502	1812	1488	1045	1186	988	754
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	10748	8165	15924	14868	9438	7540	6213	5086
ADAMTS10	217	145	278	282	137	108	116	96
ADAMTS12	2	4	3	3	2	0	2	2
ADAMTS13	322	213	310	280	171	202	189	184
ADAMTS14	13	5	19	14	11	9	7	9
ADAMTS15	235	168	246	244	136	186	161	117
ADAMTS16	217	141	75	48	24	91	80	73
ADAMTS17	833	491	481	408	218	498	413	346
ADAMTS18	97	48	109	103	72	85	56	32
ADAMTS19	450	243	305	296	151	231	232	186
ADAMTS2	289	189	269	283	139	125	82	83
ADAMTS20	140	90	126	109	82	98	105	84
ADAMTS3	888	549	759	586	396	533	460	308
ADAMTS4	41	31	34	37	31	19	19	14
ADAMTS5	99	56	105	74	53	77	72	54
ADAMTS6	147	115	187	191	118	141	127	104
ADAMTS7	121	80	168	147	72	43	53	45
ADAMTS8	143	83	100	105	72	86	60	55
ADAMTS9	506	332	449	405	236	314	283	219
ADAMTS9-AS2	20	12	22	21	15	16	10	10
ADAMTSL1	11	1	20	13	11	15	8	17
ADAMTSL2	0	0	1	0	0	1	1	0
ADAMTSL3	98	60	106	110	48	43	37	35
ADAMTSL4	42	37	65	60	31	26	31	22
ADAMTSL5	134	60	78	92	39	121	111	73
ADAP1	252	180	256	265	160	225	172	162
ADAP2	625	401	606	589	312	610	495	406
ADAR	16811	10227	11024	9831	5740	11591	10367	7939
ADARB1	1015	539	607	540	326	689	541	436
ADARB2	59	33	61	65	44	42	45	37
ADARB2-AS1	0	0	0	0	0	1	0	0
ADAT1	631	408	415	372	226	423	357	255
ADAT2	1487	983	1402	1333	841	1071	926	762
ADAT3	351	209	260	290	127	278	232	186
ADC	196	114	189	176	74	178	169	126
ADCK1	410	251	241	266	94	280	267	205
ADCK2	1383	846	1310	1351	738	1394	1196	938
ADCK3	2731	1542	2094	2074	1083	1783	1495	1201
ADCK4	996	592	846	852	408	760	639	509
ADCK5	119	70	76	91	41	72	88	60
ADCY1	1688	1072	1471	1333	799	1306	1130	945
ADCY10	31	25	69	46	35	23	35	18
ADCY2	0	0	1	0	0	0	0	1
ADCY3	1826	1174	1629	1607	855	1360	1153	995
ADCY4	0	0	2	0	2	2	1	0
ADCY5	175	108	221	177	120	132	105	96
ADCY6	1816	1205	1831	1672	962	1483	1203	971
ADCY7	342	280	464	439	261	266	251	220
ADCY8	0	1	0	1	0	0	0	0
ADCY9	1491	897	1181	1099	616	926	827	660
ADCYAP1	2	0	0	0	0	0	0	0
ADCYAP1R1	109	73	185	161	88	66	58	45
ADD1	6826	3869	3945	3544	2090	4851	4191	3201
ADD2	1882	1162	1740	1643	908	2000	1714	1451
ADD3	5283	3468	4819	4284	2826	4202	3761	2728
ADGB	0	0	1	0	0	0	2	1
ADH1A	0	0	0	0	0	0	0	0
ADH1B	0	1	0	0	0	1	0	0
ADH1C	91	39	2	2	2	19	16	7
ADH4	0	0	0	0	1	0	0	0
ADH5	3275	1927	2291	2038	1279	1989	1676	1280
ADH6	0	0	1	1	0	1	1	0
ADH7	0	0	0	0	0	0	0	0
ADHFE1	40	25	40	47	31	34	36	21
ADI1	4600	2536	2081	1844	1029	3045	2516	1894
ADIG	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	1	0	0	0	0
ADIPOR1	5070	2967	3462	3275	1795	4145	3723	2783
ADIPOR2	9021	5151	5186	4896	3011	5749	4987	3609
ADK	1404	811	1171	1064	646	1020	849	641
ADM	1068	651	672	600	370	581	507	373
ADM2	33	22	79	78	49	45	23	32
ADNP	7037	4033	3854	3551	2241	4390	3859	2846
ADNP2	2268	1356	1838	1713	1086	1843	1648	1269
ADO	2707	1551	1773	1804	937	1802	1586	1134
ADORA1	92	51	77	91	43	84	71	48
ADORA2A	132	94	138	121	77	95	92	64
ADORA2B	501	384	500	469	234	348	377	241
ADORA3	4	0	4	3	1	1	1	3
ADPGK	2832	1657	1666	1558	916	1681	1341	1013
ADPRH	15	11	17	12	14	23	24	16
ADPRHL1	113	83	42	60	19	70	63	54
ADPRHL2	1871	1004	1121	982	547	970	796	705
ADRA1A	4	4	3	3	2	4	2	2
ADRA1B	63	36	82	69	26	57	52	37
ADRA1D	3	0	2	2	1	1	1	0
ADRA2A	12	7	10	9	5	12	8	4
ADRA2B	15	13	34	28	17	23	24	14
ADRA2C	446	263	336	377	214	244	220	188
ADRB1	40	32	38	42	29	29	21	16
ADRB2	170	88	172	169	104	130	89	92
ADRB3	0	0	0	1	0	0	0	0
ADRBK1	2811	1785	1895	1988	946	2043	1734	1383
ADRBK2	1535	958	1361	1198	770	1291	1156	853
ADRM1	3816	2089	1871	1926	885	2519	2170	1576
ADSL	4285	2416	2511	2459	1307	2694	2377	1826
ADSS	3051	1890	2098	1932	1325	2140	1883	1364
ADSSL1	155	81	107	141	74	65	58	54
ADTRP	4	7	10	7	3	9	7	3
AEBP1	1	1	2	1	1	0	1	3
AEBP2	2560	1560	2637	2206	1577	1898	1575	1201
AEN	7456	3933	4224	3948	2055	3590	3231	2475
AES	4291	2683	3528	3569	1713	3469	2919	2289
AFAP1	1101	703	1038	1076	623	920	820	626
AFAP1-AS1	3	1	2	1	0	1	0	3
AFAP1L1	778	472	771	735	425	802	716	546
AFAP1L2	76	43	120	122	66	83	62	48
AFF1	3693	2224	3227	2851	1663	2998	2692	2046
AFF2	798	522	795	720	488	679	611	515
AFF3	1133	757	1085	981	557	972	921	720
AFF4	11896	6902	8732	7315	4965	7754	7148	5169
AFG3L1P	1282	759	740	628	377	863	734	543
AFG3L2	2120	1318	1508	1374	819	1420	1188	941
AFM	0	0	0	0	0	0	0	0
AFMID	1702	967	952	921	422	951	867	676
AFP	1	0	1	1	0	0	1	2
AFTPH	1867	1126	1524	1359	889	1281	1165	885
AGA	498	259	392	336	196	243	195	151
AGAP1	1905	1141	1561	1505	832	1569	1422	1108
AGAP11	50	37	118	116	76	85	83	57
AGAP2	52	41	153	133	60	36	42	38
AGAP3	3380	2062	2318	2252	1196	2375	2061	1638
AGAP4	1	0	0	4	0	0	1	0
AGAP5	227	126	105	114	58	90	74	66
AGAP6	986	583	640	613	305	533	501	383
AGAP7	4	1	5	6	0	4	1	2
AGAP8	156	84	71	89	43	77	91	56
AGAP9	23	16	17	16	13	15	10	8
AGBL1	2	0	1	0	0	0	0	0
AGBL2	3	1	0	1	0	2	2	0
AGBL3	224	158	252	224	161	174	187	138
AGBL4	2	0	7	3	2	4	1	5
AGBL5	4029	2327	2534	2500	1241	3136	2697	2095
AGER	106	75	65	72	25	63	54	54
AGFG1	3985	2365	3111	2831	1779	2684	2451	1806
AGFG2	384	257	270	234	142	262	212	166
AGGF1	3531	2007	2774	2569	1719	2188	1881	1468
AGK	3593	2146	2216	2145	1217	2410	2096	1650
AGL	3368	1978	2269	2016	1574	2479	2256	1696
AGMAT	125	61	80	49	30	86	70	47
AGMO	2	0	0	0	0	0	1	0
AGPAT1	5806	3388	3488	3337	1691	3743	3274	2582
AGPAT2	1271	777	787	750	394	913	768	577
AGPAT3	3359	1967	1690	1638	869	2356	2152	1649
AGPAT4	859	563	995	949	544	789	704	563
AGPAT4-IT1	13	9	26	20	12	12	16	17
AGPAT5	1987	1195	1600	1468	918	1540	1304	943
AGPAT6	1572	928	1858	1767	1009	1635	1394	1112
AGPAT9	505	275	494	533	316	368	284	213
AGPHD1	302	190	286	285	154	260	235	192
AGPS	5754	3260	3609	3132	2162	3551	3040	2190
AGR2	1	0	0	0	0	0	0	0
AGR3	0	0	0	0	0	0	0	0
AGRN	2654	1892	2619	2663	1373	1310	1168	1027
AGRP	0	0	0	0	0	0	0	0
AGSK1	0	0	0	0	0	0	0	0
AGT	4	0	0	2	1	4	3	0
AGTPBP1	2009	1297	1834	1747	1108	1876	1628	1178
AGTR1	48	33	95	82	55	49	52	46
AGTR2	1	0	0	0	0	0	1	1
AGTRAP	951	592	621	649	286	678	587	472
AGXT	0	1	1	1	0	1	0	0
AGXT2	0	0	0	0	0	0	0	0
AGXT2L1	95	55	124	102	54	77	78	52
AGXT2L2	612	382	755	676	364	425	380	290
AHCTF1	1054	671	852	741	517	846	716	540
AHCY	8587	5138	5389	5276	2893	6110	5182	4126
AHCYL1	6351	3807	5492	5213	3090	4141	3585	2846
AHCYL2	1569	924	1009	951	627	893	798	640
AHDC1	1478	877	822	812	430	800	644	598
AHI1	1586	1007	1254	1176	741	1099	1077	820
AHNAK	2425	1517	2157	1548	1014	885	793	692
AHNAK2	188	132	209	212	136	123	140	111
AHR	1532	910	1179	1129	721	1180	1000	735
AHRR	3242	2005	1882	1605	829	2122	1792	1452
AHSA1	5658	3256	3671	3485	2011	4194	3585	2678
AHSA2	1890	1271	2167	2031	1195	1719	1548	1184
AHSG	2	1	7	3	2	1	2	2
AHSP	0	0	0	0	1	0	0	0
AICDA	0	0	0	0	0	0	1	0
AIDA	557	318	344	334	201	409	330	258
AIF1	0	0	2	3	1	5	3	2
AIF1L	2575	1615	2085	1919	994	2148	1748	1417
AIFM1	3492	2013	2067	1898	1070	2331	1855	1472
AIFM2	435	228	300	282	159	421	374	295
AIFM3	8	3	2	1	2	2	5	4
AIG1	944	537	743	700	449	442	454	325
AIM1	89	43	149	147	102	106	112	107
AIM1L	74	48	66	81	38	63	56	50
AIM2	0	0	0	0	0	0	0	0
AIMP1	3261	1946	2159	1915	1207	2075	1626	1287
AIMP2	2491	1378	1245	1230	605	1545	1238	963
AIP	1752	1026	1236	1224	579	1263	1047	850
AIPL1	0	0	1	2	0	0	0	1
AIRE	0	1	0	0	0	0	0	0
AJAP1	0	0	0	1	0	0	0	0
AJUBA	692	416	727	684	373	581	498	421
AK1	1404	771	953	889	362	1062	819	695
AK2	7940	4871	6253	5893	3390	6124	5185	4097
AK3	2154	1334	1751	1645	1017	1853	1649	1206
AK4	4406	3063	2946	2672	1574	3452	3049	2489
AK5	32	17	30	32	24	9	20	24
AK7	26	14	56	58	36	33	31	15
AK8	39	24	51	33	12	29	22	15
AKAP1	4673	2941	3325	3011	1720	3442	2808	2180
AKAP10	2379	1342	1604	1469	882	1523	1366	1057
AKAP11	2331	1392	1735	1547	1075	1624	1496	1130
AKAP12	5274	3328	4861	4364	2817	4506	3995	3122
AKAP13	4035	2439	3131	2355	1395	2370	2191	1597
AKAP14	1	2	5	4	2	3	1	2
AKAP17A	0	0	0	0	0	0	0	0
AKAP2	8	5	5	9	2	8	11	3
AKAP3	369	216	194	173	95	162	133	124
AKAP4	0	0	0	0	0	0	1	0
AKAP5	801	467	753	676	488	571	511	379
AKAP6	151	70	165	118	87	87	100	78
AKAP7	374	223	382	352	228	444	405	290
AKAP8	2854	1576	1467	1380	751	1671	1368	1057
AKAP8L	4905	2810	3092	2954	1604	2728	2316	1854
AKAP9	2989	1983	2390	1950	1514	1750	1757	1220
AKD1	519	311	343	302	189	313	268	205
AKIP1	540	353	499	458	261	431	348	295
AKIRIN1	8287	4877	5791	4999	3148	5930	5180	3782
AKIRIN2	4100	2329	2980	2797	1534	2472	2067	1586
AKIRIN2-AS1	0	0	1	0	0	0	0	0
AKNA	309	203	582	594	304	335	311	229
AKNAD1	2	1	1	3	2	1	2	2
AKR1A1	1835	1081	1729	1826	859	1327	1134	962
AKR1B1	4742	2695	3252	2963	1454	3424	2845	2339
AKR1B10	1	1	3	2	0	1	0	0
AKR1B15	3	4	0	1	0	1	4	1
AKR1C1	31	14	50	46	26	41	37	26
AKR1C2	19	15	47	37	17	28	27	31
AKR1C3	25	10	52	45	20	37	29	24
AKR1C4	1	0	0	0	0	0	0	0
AKR1CL1	0	1	0	0	0	0	0	0
AKR1D1	1	0	0	0	0	2	0	0
AKR1E2	0	0	0	0	0	0	0	0
AKR7A2	1398	800	1087	988	559	865	813	606
AKR7A2P1	177	121	160	170	68	127	109	90
AKR7A3	31	19	20	21	9	23	10	9
AKR7L	47	23	27	17	16	36	26	19
AKT1	3917	2461	2904	2976	1487	3377	2935	2373
AKT1S1	5158	2813	2534	2496	1141	3243	2721	2090
AKT2	6854	3926	4859	4656	2391	4880	4084	3460
AKT3	2810	1792	4518	4257	2726	3937	3636	2798
AKTIP	375	178	276	287	144	288	251	201
ALAD	1260	733	947	878	481	921	733	600
ALAS1	2956	1592	1778	1781	931	1629	1309	1079
ALAS2	0	0	1	0	0	1	0	0
ALB	27	13	10	15	6	5	10	5
ALCAM	4710	3030	3730	3035	2261	3122	2501	1818
ALDH16A1	1541	880	848	891	425	856	671	596
ALDH18A1	5985	3748	4240	3755	2236	4396	3580	2771
ALDH1A1	24	11	45	41	22	47	49	38
ALDH1A2	1441	984	1500	1444	837	1239	1035	838
ALDH1A3	321	200	575	567	316	353	286	235
ALDH1B1	1950	1112	1306	1190	664	1496	1222	904
ALDH1L1	23	14	50	36	28	11	23	13
ALDH1L2	95	51	220	208	115	111	121	87
ALDH2	1997	1187	1466	1488	780	1419	1206	991
ALDH3A1	39	20	33	28	11	32	21	18
ALDH3A2	3775	2201	2913	2607	1639	3303	2834	2043
ALDH3B1	6	5	10	12	11	2	3	7
ALDH3B2	2	1	0	0	0	0	0	0
ALDH4A1	812	489	535	517	246	492	397	305
ALDH5A1	3158	1820	1824	1731	1042	1896	1662	1216
ALDH6A1	605	360	558	523	306	471	481	338
ALDH7A1	1169	680	1053	993	579	767	674	598
ALDH8A1	72	40	63	54	35	52	51	39
ALDH9A1	4595	2652	2805	2647	1471	2808	2489	1901
ALDOA	34536	22456	21132	21445	10373	21696	18437	15263
ALDOB	0	0	0	0	0	0	0	0
ALDOC	814	516	628	561	302	710	610	535
ALG1	889	452	286	283	138	463	394	307
ALG10	849	486	595	541	376	513	467	328
ALG10B	2504	1578	2088	1864	1285	1680	1453	1085
ALG11	345	226	222	212	120	225	187	162
ALG12	1579	944	931	843	457	989	823	661
ALG13	1834	1201	1423	1383	842	1554	1329	1023
ALG14	541	346	352	334	187	449	291	269
ALG1L	113	70	140	154	62	118	94	89
ALG1L2	0	0	0	2	0	0	0	0
ALG2	1954	1127	1314	1154	673	1184	1052	782
ALG3	2038	1132	1080	1087	480	1383	1089	847
ALG5	710	431	485	440	255	398	381	267
ALG6	1682	1039	1007	919	605	1005	976	677
ALG8	3144	1719	1545	1377	883	2149	1688	1291
ALG9	1559	909	1179	1053	626	1278	1107	831
